x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-2.680592621460174e-06,-7.216277353174295e-07,3051498102.537761,-57194654779.35733,23570151441.41508,104375782521.75435,143270362150.32428,-37116079120.97916,-141185104441.20264,175899036347.3507,-733487321706.1857,-234444259542.19217,-1359877285620.2234,-378151116129.7269,-1081468639896.7467,-2626158257858.7812,-3128193383317.9204,3295255243007.1284
-2.784683681793012e-06,-7.496495213221178e-07,3051502884.7362523,-57194654524.21307,23570148024.45526,104375783293.37251,143270362897.4107,-37116076237.179085,-141185106323.00537,175899034836.92447,-733487321308.5665,-234444260786.19177,-1359877285361.9563,-378151117058.4864,-1081468639267.0502,-2626158258118.094,-3128193383711.7324,3295255242633.2817
-2.8907574290291887e-06,-7.782050555714159e-07,3051507666.934722,-57194654269.06841,23570144607.49542,104375784064.99057,143270363644.49707,-37116073353.379,-141185108204.8081,175899033326.4982,-733487320910.9474,-234444262030.19138,-1359877285103.6892,-378151117987.24585,-1081468638637.3536,-2626158258377.407,-3128193384105.5444,3295255242259.435
-2.998813863170194e-06,-8.072943380630721e-07,3051512449.13317,-57194654013.92335,23570141190.53555,104375784836.60852,143270364391.5834,-37116070469.578896,-141185110086.6108,175899031816.0719,-733487320513.3282,-234444263274.19098,-1359877284845.422,-378151118916.0053,-1081468638007.6571,-2626158258636.72,-3128193384499.3564,3295255241885.5884
-3.1088529842175173e-06,-8.369173687948344e-07,3051517231.331597,-57194653758.777885,23570137773.575653,104375785608.22635,143270365138.66968,-37116067585.77878,-141185111968.4135,175899030305.6456,-733487320115.7091,-234444264518.19058,-1359877284587.155,-378151119844.7648,-1081468637377.9606,-2626158258896.033,-3128193384893.1685,3295255241511.7417
-3.220874792172649e-06,-8.670741477644512e-07,3051522013.530002,-57194653503.63202,23570134356.615734,104375786379.84407,143270365885.7559,-37116064701.978645,-141185113850.2162,175899028795.21927,-733487319718.09,-234444265762.1902,-1359877284328.888,-378151120773.52423,-1081468636748.264,-2626158259155.346,-3128193385286.9805,3295255241137.895
-3.334879287037079e-06,-8.977646749696706e-07,3051526795.728386,-57194653248.48575,23570130939.65579,104375787151.46169,143270366632.84204,-37116061818.1785,-141185115732.01886,175899027284.7929,-733487319320.4708,-234444267006.1898,-1359877284070.6208,-378151121702.2837,-1081468636118.5675,-2626158259414.659,-3128193385680.7925,3295255240764.0483
-3.4508664688122967e-06,-9.289889504082407e-07,3051531577.9267483,-57194652993.33908,23570127522.695816,104375787923.07918,143270367379.92813,-37116058934.378334,-141185117613.8215,175899025774.36655,-733487318922.8517,-234444268250.1894,-1359877283812.3538,-378151122631.04315,-1081468635488.871,-2626158259673.972,-3128193386074.6045,3295255240390.2017
-3.5688363374997922e-06,-9.607469740779098e-07,3051536360.125089,-57194652738.19201,23570124105.73582,104375788694.69656,143270368127.01416,-37116056050.578156,-141185119495.6241,175899024263.94016,-733487318525.2325,-234444269494.189,-1359877283554.0867,-378151123559.8026,-1081468634859.1744,-2626158259933.285,-3128193386468.4165,3295255240016.355
-3.6887888931010553e-06,-9.93038745976426e-07,3051541142.3234086,-57194652483.04453,23570120688.7758,104375789466.31383,143270368874.10013,-37116053166.77796,-141185121377.42673,175899022753.51373,-733487318127.6134,-234444270738.1886,-1359877283295.8196,-378151124488.5621,-1081468634229.4779,-2626158260192.598,-3128193386862.2285,3295255239642.5083
-3.8107241356175757e-06,-1.0258642661015376e-06,3051545924.5217066,-57194652227.89665,23570117271.81575,104375790237.93098,143270369621.18604,-37116050282.97775,-141185123259.2293,175899021243.0873,-733487317729.9943,-234444271982.1882,-1359877283037.5525,-378151125417.32153,-1081468633599.7814,-2626158260451.911,-3128193387256.0405,3295255239268.6616
